Filename,Category,Summary
resume_1.txt,Objective,ডাটাবেস ইঞ্জিনিয়ার হিসেবে ডায়নামিক টিমে অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে কাজ করে জাভা ও স্প্রিং ফ্রেমওয়ার্কের দক্ষতা ব্যবহার করে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চাই।
resume_1.txt,Experience,ডাটা সলিউশনস লিমিটেডে সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও ডেভেলপমেন্টে অভিজ্ঞতা অর্জন করেছেন।
resume_1.txt,Education,প্রার্থী ২০১৪ থেকে ২০১৮ পর্যন্ত বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি থেকে কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৭৫ অর্জন করেছেন।
resume_1.txt,Skill,"প্রার্থী জাভা, পাইথন ও সি++ প্রোগ্রামিং ভাষায় পারদর্শী এবং স্প্রিং বুট, হাইবারনেট ও ডজঙ্গো ফ্রেমওয়ার্কে দক্ষ। তিনি MySQL, PostgreSকিউL এবং MongoDB ব্যবহার করে ডাটাবেজ তৈরি করতে পারদর্শী। এছাড়া Git, Docker, Jenkins, Maven ইত্যাদি টুলস ব্যবহার করে ডেটাবেস পরিচালনা করতে সক্ষম।"
resume_10.txt,Objective,প্রার্থী দক্ষ ও স্কেলযোগ্য সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।
resume_10.txt,Experience,ডেটা ইঞ্জিনিয়ার হিসেবে টেক গার্ডেন সফটওয়্যারে জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে পাইথন ও জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ব্যাকএন্ড ফিচার ডেভেলপ করছেন। পূর্বে টেক গার্ডেন সফটএ জুনিয়র সফটওয়্যার ডেভেলপার হিসেবে অ্যাপ ডেভেলপমেন্টে অভিজ্ঞতা অর্জন করেছেন।
resume_10.txt,Education,প্রার্থী ২০১৫ থেকে ২০১৯ পর্যন্ত ইডেন মহিলা কলেজ থেকে কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৫০ অর্জন করেছেন।
resume_10.txt,Skill,"প্রার্থী পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে ব্যাকএন্ড ডেভেলপমেন্টে পারদর্শী এবং ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস (বেসি) দিয়ে ফ্রন্টএন্ড তৈরি করতে পারদর্শী। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজ পরিচালনা করেন। রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞতা রয়েছে।"
resume_100.txt,Objective,প্রার্থী ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশন ব্যবহার করে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চান।
resume_100.txt,Experience,"প্রার্থী জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার ব্যবহার করে কন্টেইনারাইজেশন, জেনকিন্স ব্যবহার করে সিআই/সিডি পাইপলাইন স্থাপন এবং রক্ষণাবেক্ষণের দায়িত্ব পালন করছেন।"
resume_100.txt,Education,প্রার্থী আমেরিকান ইন্টারন্যাশনাল ইউনিভার্সিটিবাংলাদেশ থেকে ২০১৮ থেকে ২০২২ পর্যন্ত কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৩৮ অর্জন করেছেন।
resume_100.txt,Skill,"ডাটাবেস পরিচালনায় ডকার ও জেনকিন্স দক্ষতা রয়েছে। তিনি AWS (EC2, S3) পরিচালনা করতে পারদর্শী।"
resume_11.txt,Objective,"প্রার্থী স্কেলেবল ডেটা পাইপলাইন নির্মাণ, ইনফ্রাস্ট্রাকচার ডেভেলপমেন্ট এবং বৃহৎ ডেটাসেট প্রক্রিয়াকরণের মাধ্যমে প্রতিষ্ঠানের ডেটাচালিত সিদ্ধান্ত গ্রহণে গুরুত্বপূর্ণ ভূমিকা রাখতে চান।"
resume_11.txt,Experience,"ডাটা ইঞ্জিনিয়ার হিসেবে টেক ফ্লো সলিউশনসে ডেটা ইঞ্জিনিয়ার হিসেবে পাইথন ও অ্যাপাচি স্পার্ক ব্যবহার করে ইটিএল পাইপলাইন ডিজাইন ও ডেভেলপ করেছেন, যার মাধ্যমে ডেটা প্রসেসিং সময় ৩০% কমিয়েছেন।"
resume_11.txt,Education,প্রার্থী ২০১২ থেকে ২০১৬ পর্যন্ত ড্যাফোডিল ইন্টারন্যাশনাল ইউনিভার্সিটি থেকে কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৩০ অর্জন করেছেন।
resume_11.txt,Skill,"প্রার্থী পাইথন (প্যান্ডাস, নামপাই), এসকিউএল ও বাশ প্রোগ্রামিং ভাষায় পারদর্শী এবং অ্যাপাচি স্পার্ক, হাডুপ (বেসিক) ও হাডুপের বিগ ডেটা টেকনোলজিতে দক্ষ। PostgreSQL, MySQLE ও মঙ্গোডিবি ডেটাবেজ পরিচালনা করতে পারদর্শী।"
resume_12.txt,Objective,প্রার্থী হেলথকেয়ার ও ফার্মেসি ম্যানেজমেন্ট সিস্টেম উন্নয়নের মাধ্যমে রোগীর সেবা উন্নত করতে ইচ্ছুক। ওষুধ ব্যবস্থাপনা প্রক্রিয়ায় ডিজিটালাইজেশনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।
resume_12.txt,Experience,"প্রার্থী সফটওয়্যার ইঞ্জিনিয়ার (হেলথটেক) হিসেবে কেয়ার হাসপাতাল লিমিটেডে সফটওয়্যার ইঞ্জিনিয়ার হিসেবে পাইথন ও জ্যাঙ্গো ব্যবহার করে ফার্মেসি ম্যানেজমেন্ট সিস্টেম তৈরি করেছেন, যা ইনভেন্টরি ট্র্যাকিং ও অটোমেটেড রি-অর্ডারিং সক্ষম করে।"
resume_12.txt,Education,প্রার্থী ২০১৩ থেকে ২০১৭ পর্যন্ত ঢাকা বিশ্ববিদ্যালয় থেকে বি. ফার্ম (অনার্স) সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৪০ অর্জন করেছেন।
resume_12.txt,Skill,"প্রার্থী পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যাকএন্ডে পারদর্শী এবং ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড ডেভেলপমেন্টে পারদর্শী। মাইএসকিউএল ও পোস্টগ্রেসকিউএল ডেটাবেজে ডেটাবেজ পরিচালনা করতে পারদর্শী। এছাড়া রেস্টফুল এপিআই ডিজাইনে দক্ষ।"
resume_13.txt,Objective,প্রার্থী শিক্ষার্থীদের জন্য ইন্টারেক্টিভ লার্নিং প্ল্যাটফর্ম ও মূল্যায়ন টুল তৈরি করতে ইচ্ছুক। আধুনিক শিক্ষা ব্যবস্থার ডিজিটাল রূপান্তরে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।
resume_13.txt,Experience,প্রার্থী সফটওয়্যার ইঞ্জিনিয়ার (এডটেক) হিসেবে সানশাইন প্রিপারেটরি স্কুলে সফটওয়্যার ইঞ্জিনিয়ার হিসেবে রিঅ্যাক্ট জেএস ও নেক্সট জেএস ব্যবহার করে প্রাথমিক শিক্ষার্থীদের ইন্টারেক্টিভ লার্নিং ম্যানেজমেন্ট সিস্টেম (LMS) তৈরি করেছেন। পূর্বে সানশাইন প্রিপেরেটরি স্কুল-এ ইন্টার্নশিপের সময় রিয়েলঅ্যাক্ট জ্যাস ও নেক্সটজেএস দিয়ে প্রাথমিক শিক্ষার্থীদের ইন্টিগ্রেশন ম্যানেজমেন্ট সিস্টেম এবং LMS ডেভেলপ করেছেন।
resume_13.txt,Education,প্রার্থী ২০২২ সালে ইনস্টিটিউট অফ ইনফরমেশন টেকনোলজি (আইআইটি) থেকে সফটওয়্যার ডেভেলপমেন্টে পেশাদার সার্টিফিকেট অর্জন করেছেন। তিনি প্রাথমিক শিক্ষা বিষয়ে বি.এড (প্রাথমিক শিক্ষা) সম্পন্ন করেছেন।
