filename,summary
resume_1.txt,"[Objective]: অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে একটি ডায়নামিক টিমে যোগদান করা যেখানে আমার জাভা এবং স্প্রিং ফ্রেমওয়ার্কের দক্ষতা কাজে লাগিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে পারি 
[Education]: বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং 
[Experience Highlights]: সফ্টওয়্যার ইঞ্জিনিয়ার | ডাটা সফ্ট লিমিটেড (জুন ২০১৮ - জুন ২০২০) 
[Top Skills]: প্রোগ্রামিং ভাষা: জাভা, পাইথন, সি++, ফ্রেমওয়ার্ক: স্প্রিং বুট, হাইবারনেট, ডjango, ডাটাবেজ: MySQL, PostgreSQL, MongoDB, টুলস: Git, Docker, Jenkins, Maven"
resume_10.txt,"[Objective]: দক্ষ ও স্কেলেবল সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে প্রতিষ্ঠানের টেকনোলজিক্যাল চ্যালেঞ্জ মোকাবেলা এবং ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং 
[Experience Highlights]: পাইথন এবং জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ব্যাকএন্ড ফিচার ডেভেলপ করছি | সফটওয়্যার ডেভেলপমেন্ট ইন্টার্ন 
[Top Skills]: ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, জাভা (বেসিক), ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস (বেসিক), ডেটাবেজ: পোস্টগ্রেএসকিউএল, মাইএসকিউএল, এপিআই ডিজাইন: রেস্টফুল এপিআই, ভার্সন কন্ট্রোল: গিট, গিটহাব, টুলস ও টেকনোলজি: ডকার (বেসিক), অ্যাজাইল স্ক্রাম"
resume_100.txt,"[Objective]: ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশনের মাধ্যমে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চাই 
[Education]: বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং 
[Experience Highlights]: ডকার ব্যবহার করে অ্যাপ্লিকেশন কন্টেইনারাইজেশন | সফটওয়্যার ইঞ্জিনিয়ার (ইন্টার্ন) 
[Top Skills]: লিনাক্স, ডকার, জেনকিন্স, AWS (EC2, S3), গিট ও গিটহাব অ্যাকশেস"
resume_11.txt,"[Objective]: স্কেলেবল ডেটা পাইপলাইন নির্মাণ, ডেটা ইনফ্রাস্ট্রাকচার ডেভেলপমেন্ট এবং বড় ডেটাসেট প্রসেসিংয়ের মাধ্যমে প্রতিষ্ঠানের ডেটা-চালিত সিদ্ধান্ত গ্রহণ প্রক্রিয়ায় গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং 
[Experience Highlights]: ডেটা ইঞ্জিনিয়ার | | অ্যাপাচি এয়ারফ্লো ব্যবহার করে ডেটা ওয়ার্কফ্লো অটোমেশন ও অর্কেস্ট্রেশন করেছি 
[Top Skills]: প্রোগ্রামিং ল্যাঙ্গুয়েজ: পাইথন (প্যান্ডাস, নামপাই), এসকিউএল, বাশ, বিগ ডেটা টেকনোলজি: অ্যাপাচি স্পার্ক, হাডুপ (বেসিক), ডেটাবেজ: PostgreSQL, MySQL, মঙ্গোডিবি (বেসিক), ইটিএল অর্কেস্ট্রেশন: অ্যাপাচি এয়ারফ্লো, ডেটা ওয়্যারহাউজিং: গুগল বিগকোয়েরি (বেসিক), ক্লাউড প্ল্যাটফর্ম: অ্যামাজন ওয়েব সার্ভিসেস (AWS) - S3 (বেসিক), ভার্সন কন্ট্রোল: গিট, গিটহাব"
resume_12.txt,"[Objective]: হেলথকেয়ার ও ফার্মেসি ম্যানেজমেন্ট সিস্টেম ডেভেলপমেন্টের মাধ্যমে রোগী সেবা ও ওষুধ ব্যবস্থাপনা প্রক্রিয়া ডিজিটালাইজেশনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: ঢাকা বিশ্ববিদ্যালয় 
[Experience Highlights]: পাইথন ও জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে হাসপাতালের ফার্মেসি ম্যানেজমেন্ট সিস্টেম ডেভেলপ করেছি যা ইনভেন্টরি ট্র্যাকিং ও অটোমেটেড রি-অর্ডারিং সক্ষম করেছে | কমিউনিটি ফার্মেসির জন্য প্রেসক্রিপশন ম্যানেজমেন্ট সফটওয়্যার ডেভেলপমেন্টে সহায়তা করেছি 
[Top Skills]: ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, জাভা (বেসিক), ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস, ডেটাবেজ: মাইএসকিউএল, পোস্টগ্রেএসকিউএল, এপিআই ডিজাইন: রেস্টফুল এপিআই, ফার্মেসি ম্যানেজমেন্ট সিস্টেম ও ইনভেন্টরি কন্ট্রোল, ক্লিনিক্যাল ফার্মেসি নলেজ ও রোগীর সাথে যোগাযোগ দক্ষতা"
resume_13.txt,"[Objective]: শিক্ষার্থীদের জন্য ইন্টারেক্টিভ লার্নিং প্ল্যাটফর্ম ও অ্যাসেসমেন্ট টুল ডেভেলপমেন্টের মাধ্যমে আধুনিক শিক্ষা ব্যবস্থার ডিজিটাল রূপান্তরে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: বিএড (প্রাথমিক শিক্ষা) 
[Experience Highlights]: রিঅ্যাক্ট জেএস ও নেক্সট জেএস ব্যবহার করে প্রাথমিক শিক্ষার্থীদের জন্য ইন্টারেক্টিভ লার্নিং ম্যানেজমেন্ট সিস্টেম (LMS) ডেভেলপ করেছি | স্কুল ম্যানেজমেন্ট সফটওয়্যার ডেভেলপমেন্টে সহায়তা করেছি 
[Top Skills]: ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস, নেক্সট জেএস, ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, ডেটাবেজ: পোস্টগ্রেএসকিউএল, ডায়নামোবিডি, এপিআই ডিজাইন: রেস্টফুল এপিআই, এডটেক ও লার্নিং ম্যানেজমেন্ট সিস্টেম, শিশু মনোবিজ্ঞান ও পাঠদান পদ্ধতি (Pedagogy) সম্পর্কে গভীর জ্ঞান"
resume_14.txt,"[Objective]: ব্যাংকিং অপারেশন ও ফাইন্যান্সিয়াল সার্ভিসের জন্য স্কেলেবল ও সুরক্ষিত সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে ব্যাংকিং খাতের ডিজিটাল ট্রান্সফরমেশনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: এমবিএ (ফাইন্যান্স) 
[Experience Highlights]: রেস্টফুল এপিআই ডেভেলপ করেছি যা কোর ব্যাংকিং সিস্টেমের সাথে ইন্টিগ্রেশন সক্ষম করেছে | ব্যাংকের ট্রানজেকশন প্রসেসিং সিস্টেমের ডেভেলপমেন্ট ও মেইনটেনেন্সে সহায়তা করেছি 
[Top Skills]: ব্যাকএন্ড ডেভেলপমেন্ট: জাভা, স্প্রিং বুট, পাইথন (বেসিক), ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস, ডেটাবেজ: পোস্টগ্রেএসকিউএল, মাইএসকিউএল, এপিআই ডিজাইন: রেস্টফুল এপিআই, ফাইনটেক ও ব্যাংকিং অপারেশনস, কাস্টমার রিলেশনশিপ ম্যানেজমেন্ট (CRM) ও ফাইন্যান্সিয়াল অ্যানালিসিস"
resume_15.txt,"[Objective]: হোটেল অপারেশনস ও অতিথি সেবা সংক্রান্ত ডেটা বিশ্লেষণের মাধ্যমে গ্রাহক অভিজ্ঞতা উন্নয়ন ও ব্যবসায়িক সিদ্ধান্ত গ্রহণ প্রক্রিয়ায় গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: পেশাদার সার্টিফিকেট ইন ডেটা অ্যানালিটিক্স 
[Experience Highlights]: এক্সেল ও গুগল শিটস ব্যবহার করে অতিথি চেক-ইন/আউট ও রিজার্ভেশন ডেটা সংগ্রহ ও অ্যানালাইসিস করেছি | প্রপার্টি ম্যানেজমেন্ট সিস্টেম (PMS) থেকে সংগৃহীত ডেটা ট্র্যাক করে অতিথি সন্তুষ্টি ও কমপ্লেইন্ট ট্রেন্ড অ্যানালাইসিস রিপোর্ট তৈরি করেছি 
[Top Skills]: ডেটা অ্যানালাইসিস: এক্সেল, গুগল শিটস, এসকিউএল (বেসিক), ডেটা ভিজুয়ালাইজেশন: পাওয়ার বিআই, প্রপার্টি ম্যানেজমেন্ট সিস্টেম (PMS) ডেটা অ্যানালাইসিস, হোটেল অপারেশনস ও কাস্টমার সার্ভিস এক্সিলেন্স, যোগাযোগ দক্ষতা (বাংলা ও ইংরেজি)"
resume_16.txt,"[Objective]: একজন ফ্লাটার ডেভেলপার হিসেবে একটি ইনোভেটিভ টিমে যোগদান করা, যেখানে আমি ক্রস-প্ল্যাটফর্ম মোবাইল অ্যাপ্লিকেশন ডেভেলপমেন্টের মাধ্যমে ব্যবহারকারীর অভিজ্ঞতা উন্নত করতে পারি 
[Education]: বিএসসি ইন সফটওয়্যার ইঞ্জিনিয়ারিং 
[Experience Highlights]: অ্যাপ ইনোভেশনস লিমিটেড মার্চ ২০২১ - বর্তমান | RESTful API এর সাথে ইন্টিগ্রেশন এবং State Management (Provider, Bloc) বাস্তবায়ন 
[Top Skills]: প্রোগ্রামিং ভাষা: Dart, Java, ফ্রেমওয়ার্ক: Flutter, Firebase, টুলস: Git, Android Studio, VS Code, API ইন্টিগ্রেশন (REST)"
resume_17.txt,"[Objective]: ল্যাবরেটরি টেস্ট ও গবেষণা সংক্রান্ত ডেটা বিশ্লেষণের মাধ্যমে জনস্বাস্থ্য ও কোয়ালিটি কন্ট্রোল প্রক্রিয়া উন্নয়নে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী 
[Education]: এমএসসি ইন মাইক্রোবায়োলজি 
[Experience Highlights]: এক্সেল ও এসপিএসএস ব্যবহার করে রক্ত, মূত্র এবং অন্যান্য নমুনার মাইক্রোবায়োলজিক্যাল টেস্টের ডেটা সংগ্রহ ও অ্যানালাইসিস করেছি | ব্যাকটেরিয়া কালচার ও অ্যান্টিবায়োটিক সেনসিটিভিটি টেস্টিংয়ের ডেটা ট্র্যাক করে রেজিস্ট্যান্স প্যাটার্ন অ্যানালাইসিস রিপোর্ট তৈরি করেছি 
[Top Skills]: ডেটা অ্যানালাইসিস: এক্সেল, এসপিএসএস, এসকিউএল (বেসিক), ডেটা ভিজুয়ালাইজেশন: পাওয়ার বিআই, মাইক্রোবায়োলজিক্যাল অ্যাসেস ডেটা ম্যানেজমেন্ট, ল্যাবরেটরি টেকনিক ও গুড ল্যাবরেটরি প্র্যাকটিস (GLP), রিসার্চ মেথডোলজি"
